#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1000,500.9999999950648,-206283.17644829978,3794.3432515747845,-202488.833196725,304.54057918203637,0.9939540198818504,0
2000,501.99999999504115,-206145.44207329978,3616.494637795724,-202528.94743550406,290.26614056225196,0.9939540198818504,378
3000,502.9999999950175,-206283.40301079978,3722.830617625732,-202560.57239317405,298.80085098200107,0.9939540198818504,379
4000,503.99999999499386,-206256.54363579978,3696.1709101637825,-202560.372725636,296.6610965599634,0.9939540198818504,380
5000,504.9999999949702,-206212.43426079978,3724.153638797812,-202488.28062200197,298.907038959024,0.9939540198818504,379
6000,505.99999999494656,-206331.95769829978,3861.5058128610253,-202470.45188543876,309.9311629951829,0.9939540198818504,380
7000,506.9999999949229,-206278.36394829978,3794.137112347409,-202484.22683595237,304.5240340896357,0.9939540198818504,380
8000,507.99999999489927,-206334.63738579978,3775.7721241172403,-202558.86526168254,303.05002823896166,0.9939540198818504,380
9000,508.9999999948756,-206421.27801079978,3860.1946968128905,-202561.0833139869,309.825930544084,0.9939540198818504,380
10000,509.999999994852,-206506.44207329978,3889.800639197696,-202616.6414341021,312.20215489789183,0.9939540198818504,375
11000,510.99999999482833,-206320.54363579978,3750.343060007319,-202570.20057579246,301.0090473896728,0.9939540198818504,376
12000,511.9999999948047,-206355.86394829978,3727.8323899051175,-202628.03155839466,299.20230191195276,0.9939540198818504,376
13000,512.9999999947811,-206335.06707329978,3759.4780636033975,-202575.58900969638,301.74223864347545,0.9939540198818504,377
14000,513.9999999947574,-206375.59832329978,3737.916484573856,-202637.68183872593,300.0116688635773,0.9939540198818504,377
15000,514.9999999947338,-206410.11394829978,3779.8335110247135,-202630.28043727507,303.37600220575314,0.9939540198818504,377
16000,515.9999999947102,-206373.11394829978,3699.367793623358,-202673.74615467642,296.9176839786037,0.9939540198818504,377
17000,516.9999999946865,-206352.02019829978,3606.5778650748543,-202745.44233322493,289.4702031607591,0.9939540198818504,378
18000,517.9999999946629,-206441.22332329978,3572.0932164611295,-202869.13010683865,286.70240537194445,0.9939540198818504,378
19000,518.9999999946392,-206545.22332329978,3628.493407871574,-202916.7299154282,291.22918268735623,0.9939540198818504,378
20000,519.9999999946156,-206598.42644829978,3691.773191353306,-202906.65325694648,296.3081280105138,0.9939540198818504,376
21000,520.9999999945919,-206615.14519829978,3638.1476424334105,-202976.99755586637,292.00404832024293,0.9939540198818504,376
22000,521.9999999945683,-206751.20769829978,3716.2427772665396,-203034.96492103324,298.2720994733666,0.9939540198818504,376
23000,522.9999999945446,-206599.55144829978,3440.832091262564,-203158.71935703722,276.1671594962672,0.9939540198818504,377
24000,523.999999994521,-206793.59832329978,3544.839281127788,-203248.759042172,284.51495718892596,0.9939540198818504,377
25000,524.9999999944973,-206862.35613579978,3610.203433706891,-203252.1527020929,289.7611975958584,0.9939540198818504,377
26000,525.9999999944737,-206776.67644829978,3574.4658451485448,-203202.21060315124,286.89283667104985,0.9939540198818504,377
27000,526.99999999445,-206813.61394829978,3582.874990575947,-203230.73895772384,287.56776928760326,0.9939540198818504,377
28000,527.9999999944264,-206952.03582329978,3631.696835574694,-203320.3389877251,291.48629535834897,0.9939540198818504,377
29000,528.9999999944027,-206886.17644829978,3581.2397284638137,-203304.93671983597,287.43652031044843,0.9939540198818504,378
30000,529.9999999943791,-206795.02019829978,3459.019967083819,-203336.00023121596,277.62694999740256,0.9939540198818504,377
31000,530.9999999943554,-206856.55144829978,3465.7890029167756,-203390.762445383,278.1702445694519,0.9939540198818504,377
32000,531.9999999943318,-207003.50457329978,3521.099615270272,-203482.4049580295,282.6095703774309,0.9939540198818504,377
33000,532.9999999943082,-207082.97332329978,3604.568535258062,-203478.40478804172,289.3089308599678,0.9939540198818504,377
34000,533.9999999942845,-206911.27801079978,3411.3705047806725,-203499.9075060191,273.8025213979367,0.9939540198818504,378
35000,534.9999999942609,-206961.62957329978,3467.085176369408,-203494.54439693037,278.2742777018843,0.9939540198818504,378
36000,535.9999999942372,-206991.94207329978,3507.828328991309,-203484.11374430847,281.54439389182727,0.9939540198818504,378
37000,536.9999999942136,-206866.76238579978,3328.1279300511815,-203538.6344557486,267.12132777893515,0.9939540198818504,378
38000,537.9999999941899,-206925.67644829978,3299.4422569917515,-203626.23419130803,264.818965839456,0.9939540198818504,378
39000,538.9999999941663,-207054.00457329978,3473.9262571893632,-203580.07831611042,278.82335472971397,0.9939540198818504,378
40000,539.9999999941426,-207097.16082329978,3506.367644716054,-203590.79317858373,281.42715683505776,0.9939540198818504,377
41000,540.999999994119,-207021.59832329978,3390.1539736939594,-203631.44434960582,272.09964576519064,0.9939540198818504,377
42000,541.9999999940953,-207109.44207329978,3437.0234831990674,-203672.41859010071,275.86147399850597,0.9939540198818504,378
43000,542.9999999940717,-207119.62957329978,3408.030308034271,-203711.5992652655,273.53443140599705,0.9939540198818504,378
44000,543.999999994048,-207267.02019829978,3435.6349552967586,-203831.38524300302,275.7500283375463,0.9939540198818504,378
45000,544.9999999940244,-207283.19988579978,3425.820163998287,-203857.3797218015,274.962276142131,0.9939540198818504,378
46000,545.9999999940007,-207327.75457329978,3379.832579080481,-203947.9219942193,271.27123270787155,0.9939540198818504,378
47000,546.9999999939771,-207356.27801079978,3389.9660450776573,-203966.31196572213,272.08456228806193,0.9939540198818504,378
48000,547.9999999939535,-207311.70769829978,3272.352693160996,-204039.3550051388,262.64471039870665,0.9939540198818504,378
49000,548.9999999939298,-207489.15301079978,3302.2047086711973,-204186.94830212859,265.0406850089254,0.9939540198818504,378
50000,549.9999999939062,-207531.06707329978,3273.1501741639804,-204257.9168991358,262.70871760902816,0.9939540198818504,378
51000,550.9999999938825,-207450.60613579978,3180.1556469267234,-204270.45048887306,255.2448153450883,0.9939540198818504,378
52000,551.9999999938589,-207508.73894829978,3261.300408417359,-204247.43853988242,261.7576348301705,0.9939540198818504,378
53000,552.9999999938352,-207520.50457329978,3250.337158102542,-204270.16741519724,260.8777053195216,0.9939540198818504,378
54000,553.9999999938116,-207611.55926079978,3228.695515097119,-204382.86374570266,259.14070946586844,0.9939540198818504,378
55000,554.9999999937879,-207827.69207329978,3457.257387704216,-204370.43468559557,277.48548231524285,0.9939540198818504,378
56000,555.9999999937643,-207631.73113579978,3241.591796472203,-204390.13933932758,260.17578740659843,0.9939540198818504,378
57000,556.9999999937406,-207602.33269829978,3157.572988655418,-204444.75970964436,253.4322919718909,0.9939540198818504,378
58000,557.999999993717,-207679.00457329978,3271.432244955562,-204407.57232834422,262.5708336271537,0.9939540198818504,378
59000,558.9999999936933,-207676.80144829978,3286.097633961239,-204390.70381433854,263.7479032188058,0.9939540198818504,378
60000,559.9999999936697,-207599.39519829978,3139.9699901025742,-204459.4252081972,252.01944473610143,0.9939540198818504,378
61000,560.999999993646,-207672.89519829978,3148.81454737531,-204524.08065092447,252.72932426356115,0.9939540198818504,378
62000,561.9999999936224,-207556.05144829978,3031.7622464322485,-204524.28920186753,243.33450329975,0.9939540198818504,378
63000,562.9999999935987,-207710.11394829978,3213.5159597462043,-204496.59798855358,257.9223719903713,0.9939540198818504,378
64000,563.9999999935751,-207753.11394829978,3089.6475066049024,-204663.46644169488,247.980474813204,0.9939540198818504,378
65000,564.9999999935515,-207795.66082329978,3111.524751133984,-204684.1360721658,249.73638045432605,0.9939540198818504,378
66000,565.9999999935278,-207878.58269829978,3102.591031689255,-204775.99166661053,249.0193446160902,0.9939540198818504,378
67000,566.9999999935042,-207944.94207329978,3131.2963312556967,-204813.6457420441,251.32328181310837,0.9939540198818504,378
68000,567.9999999934805,-207954.83269829978,3136.1287226658314,-204818.70397563395,251.71113794032246,0.9939540198818504,378
69000,568.9999999934569,-208045.20769829978,3166.8406314803287,-204878.36706681945,254.17612908056026,0.9939540198818504,378
70000,569.9999999934332,-207893.83269829978,2964.9766243156046,-204928.85607398418,237.97417327900294,0.9939540198818504,378
71000,570.9999999934096,-208100.62176079978,3182.645115520805,-204917.97664527898,255.44462441802406,0.9939540198818504,378
72000,571.9999999933859,-208216.37176079978,3219.514643140341,-204996.85711765944,258.4038367377743,0.9939540198818504,378
73000,572.9999999933623,-208110.73894829978,3024.4536894280463,-205086.28525887174,242.74790582148526,0.9939540198818504,378
74000,573.9999999933386,-208243.52801079978,3134.1997949471697,-205109.3282158526,251.55631885156504,0.9939540198818504,378
75000,574.999999993315,-208175.94988579978,2998.167566785589,-205177.7823190142,240.63813596588201,0.9939540198818504,378
76000,575.9999999932913,-208162.06707329978,2964.134819250554,-205197.93225404923,237.90660854248037,0.9939540198818504,378
77000,576.9999999932677,-208122.12176079978,2891.5395731758326,-205230.58218762395,232.07998801301653,0.9939540198818504,378
78000,577.999999993244,-208199.05144829978,2913.61133680027,-205285.4401114995,233.85150609456213,0.9939540198818504,378
79000,578.9999999932204,-208245.17644829978,3002.7493949304335,-205242.42705336935,241.00588145025918,0.9939540198818504,378
80000,579.9999999931968,-208298.36394829978,3011.6723049697466,-205286.69164333004,241.7220497068432,0.9939540198818504,378
81000,580.9999999931731,-208282.19207329978,2903.632026033476,-205378.5600472663,233.05054928089072,0.9939540198818504,378
82000,581.9999999931495,-208305.99676079978,2924.4534996794537,-205381.54326112033,234.72171691732893,0.9939540198818504,378
83000,582.9999999931258,-208354.41082329978,2898.373424323974,-205456.0373989758,232.62848477483035,0.9939540198818504,378
84000,583.9999999931022,-208326.23113579978,2885.826679656282,-205440.4044561435,231.6214612572922,0.9939540198818504,378
85000,584.9999999930785,-208383.14519829978,2851.4847966851667,-205531.66040161462,228.86512208690095,0.9939540198818504,378
86000,585.9999999930549,-208401.44207329978,2892.659845342394,-205508.7822279574,232.169903002733,0.9939540198818504,378
87000,586.9999999930312,-208386.67644829978,2878.881853670813,-205507.79459462897,231.0640574622994,0.9939540198818504,378
88000,587.9999999930076,-208463.30144829978,2941.6554272794165,-205521.64602102037,236.10237350188171,0.9939540198818504,378
89000,588.9999999929839,-208461.66863579978,2946.9962674505077,-205514.67236834927,236.53103860969657,0.9939540198818504,378
90000,589.9999999929603,-208489.51238579978,2882.3668970228173,-205607.14548877697,231.3437730943665,0.9939540198818504,378
91000,590.9999999929366,-208536.69207329978,2870.9405592381954,-205665.7515140616,230.42667537912575,0.9939540198818504,378
92000,591.999999992913,-208632.78582329978,2909.1017051166855,-205723.6841181831,233.48955522355263,0.9939540198818504,378
93000,592.9999999928893,-208640.77019829978,2870.20779516967,-205770.5624031301,230.36786246236082,0.9939540198818504,378
94000,593.9999999928657,-208775.62957329978,2992.440996783087,-205783.1885765167,240.1785115118834,0.9939540198818504,378
95000,594.999999992842,-208648.53582329978,2741.827778828563,-205906.70804447122,220.06385938733766,0.9939540198818504,378
96000,595.9999999928184,-208670.21551079978,2757.1599197760806,-205913.0555910237,221.29444364782057,0.9939540198818504,378
97000,596.9999999927948,-208719.20769829978,2817.8760285425233,-205901.33166975726,226.16762398587716,0.9939540198818504,378
98000,597.9999999927711,-208794.12176079978,2871.4026297535747,-205922.7191310462,230.46376196118925,0.9939540198818504,378
99000,598.9999999927475,-208689.59051079978,2777.2647871896625,-205912.32572361012,222.90809522348368,0.9939540198818504,378
100000,599.9999999927238,-208866.86394829978,2883.0346341356635,-205983.82931416412,231.39736683473333,0.9939540198818504,378
101000,600.9999999927002,-208827.53582329978,2756.113617159426,-206071.42220614036,221.21046558264598,0.9939540198818504,378
102000,601.9999999926765,-208979.09832329978,2813.4806346669793,-206165.6176886328,225.81484203974307,0.9939540198818504,378
103000,602.9999999926529,-208986.69207329978,2761.013635489682,-206225.6784378101,221.6037495639198,0.9939540198818504,378
104000,603.9999999926292,-209049.84832329978,2752.5910720289685,-206297.2572512708,220.9277399927091,0.9939540198818504,378
105000,604.9999999926056,-208959.98894829978,2717.1258883504197,-206242.86305994936,218.08124275665122,0.9939540198818504,378
106000,605.9999999925819,-209016.53582329978,2727.4140056765173,-206289.12181762327,218.9069849210909,0.9939540198818504,378
107000,606.9999999925583,-209103.64519829978,2831.080550549552,-206272.56464775023,227.2274418550627,0.9939540198818504,378
108000,607.9999999925346,-209025.12957329978,2757.830524387071,-206267.2990489127,221.34826753856856,0.9939540198818504,378
109000,608.999999992511,-208972.20769829978,2654.176182827214,-206318.03151547257,213.02879006370645,0.9939540198818504,378
110000,609.9999999924873,-209157.98894829978,2759.0855793808587,-206398.90336891892,221.4490004320818,0.9939540198818504,378
111000,610.9999999924637,-209077.08269829978,2584.069073542021,-206493.01362475776,207.40187171423196,0.9939540198818504,378
112000,611.99999999244,-209069.48894829978,2632.0914125215495,-206437.39753577823,211.2562280433363,0.9939540198818504,378
113000,612.9999999924164,-209160.52801079978,2690.9919245992787,-206469.5360862005,215.9836854379264,0.9939540198818504,378
114000,613.9999999923928,-209195.97332329978,2712.9329572664574,-206483.04036603332,217.7447108257959,0.9939540198818504,378
115000,614.9999999923691,-209271.02019829978,2681.0496968487278,-206589.97050145105,215.18570497154244,0.9939540198818504,378
116000,615.9999999923455,-209228.34832329978,2567.2733549168333,-206661.07496838295,206.05381816747644,0.9939540198818504,378
117000,616.9999999923218,-209356.09832329978,2610.647064520046,-206745.45125877974,209.535067429349,0.9939540198818504,378
118000,617.9999999922982,-209377.79363579978,2582.8596465718,-206794.93398922798,207.3048010051345,0.9939540198818504,378
119000,618.9999999922745,-209434.63738579978,2603.1649445965886,-206831.4724412032,208.93453948975014,0.9939540198818504,378
120000,619.9999999922509,-209447.31707329978,2584.5382384207915,-206862.778834879,207.4395277022223,0.9939540198818504,378
121000,620.9999999922272,-209683.09832329978,2702.0403164725867,-206981.0580068272,216.870448557929,0.9939540198818504,378
122000,621.9999999922036,-209622.23894829978,2614.2257176451385,-207008.01323065464,209.8222963443806,0.9939540198818504,378
123000,622.9999999921799,-209552.71551079978,2441.196518172743,-207111.51899262704,195.9346722869479,0.9939540198818504,378
124000,623.9999999921563,-209759.09832329978,2517.8357741679065,-207241.26254913188,202.08587207604464,0.9939540198818504,378
125000,624.9999999921326,-209679.95769829978,2421.9288067806046,-207258.02889151918,194.38821230749326,0.9939540198818504,378
126000,625.999999992109,-209665.36394829978,2393.9182216636837,-207271.4457266361,192.1400340987362,0.9939540198818504,378
127000,626.9999999920853,-209844.05926079978,2549.3555835254956,-207294.7036772743,204.61570671698905,0.9939540198818504,378
128000,627.9999999920617,-209755.06707329978,2445.726479676552,-207309.34059362323,196.29825486463636,0.9939540198818504,378
129000,628.999999992038,-209695.48894829978,2367.4956691374537,-207327.99327916233,190.01931414371734,0.9939540198818504,378
130000,629.9999999920144,-209749.72332329978,2478.9588747313246,-207270.76444856846,198.96554460796312,0.9939540198818504,378
131000,630.9999999919908,-209744.03582329978,2384.3539575372124,-207359.68186576257,191.3723896492477,0.9939540198818504,378
132000,631.9999999919671,-209799.49676079978,2424.442581304116,-207375.05417949567,194.58997221653829,0.9939540198818504,378
133000,632.9999999919435,-209754.39519829978,2362.882837309735,-207391.51236099005,189.64908024990717,0.9939540198818504,378
134000,633.9999999919198,-209810.94988579978,2329.6336622161325,-207481.31622358365,186.98044371152125,0.9939540198818504,378
135000,634.9999999918962,-209836.73894829978,2333.725080652628,-207503.01386764715,187.30882806098916,0.9939540198818504,378
136000,635.9999999918725,-209843.98894829978,2361.442440226674,-207482.5465080731,189.53347147841677,0.9939540198818504,378
137000,636.9999999918489,-209906.79363579978,2302.3045691431034,-207604.48906665668,184.78696323778556,0.9939540198818504,378
138000,637.9999999918252,-210057.59832329978,2355.0364388662856,-207702.5618844335,189.01931468363446,0.9939540198818504,378
139000,638.9999999918016,-210026.84832329978,2359.4264780366793,-207667.4218452631,189.37166685183342,0.9939540198818504,378
140000,639.9999999917779,-210026.09832329978,2310.188425091328,-207715.90989820845,185.41973520844573,0.9939540198818504,378
141000,640.9999999917543,-210063.31707329978,2236.681067192927,-207826.63600610686,179.51990699990677,0.9939540198818504,378
142000,641.9999999917306,-210044.40301079978,2192.9139684010297,-207851.48904239875,176.0070836385333,0.9939540198818504,378
143000,642.999999991707,-210128.19988579978,2206.47298999317,-207921.7268958066,177.09535426009558,0.9939540198818504,378
