#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1000,1.0000000000000007,-206593.95762139684,2313.8267657049,-204280.13085569194,185.71175474496468,0.6089569469100774,0
2000,1.9999999999998905,-206755.70037453633,2496.491843888536,-204259.2085306478,200.37277116283582,0.6844276125655638,349
3000,2.9999999999997806,-207131.0827246846,2882.25171112502,-204248.83101355957,231.33452807416063,0.7446355525628919,348
4000,3.9999999999996705,-207236.43699518743,3025.315226160921,-204211.1217690265,242.8170542559363,0.7775883110497132,347
5000,5.000000000000004,-207253.80742849284,3050.93548245728,-204202.87194603556,244.87338052216091,0.824888809015064,346
6000,6.000000000000338,-207378.33885375748,3223.0375588713214,-204155.30129488616,258.6865920727528,0.8636785004695338,346
7000,7.000000000000672,-207348.52003319492,3355.5909579647705,-203992.92907523015,269.32555809558494,0.902342707527391,345
8000,8.000000000001005,-207176.01866169454,3183.0206415550783,-203992.99802013946,255.4747647897282,0.9495540097958322,344
9000,9.000000000000451,-207243.89067391827,3337.523208958097,-203906.36746496017,267.87540918121766,0.949496292850805,344
10000,9.999999999999897,-207153.1166323692,3269.689445229247,-203883.42718713995,262.43095349431917,0.9755936936423881,341
11000,10.999999999999343,-207209.38955322836,3363.012217797339,-203846.37733543103,269.9212012985906,0.9769419886321669,341
12000,11.999999999998789,-207187.91760776297,3446.2373985003214,-203741.68020926265,276.6009988428156,0.988350139910424,341
13000,12.999999999998234,-207148.86568382243,3453.2516917395405,-203695.6139920829,277.1639782002414,1.0205493742349794,340
14000,13.99999999999768,-207000.93231871392,3454.924168824684,-203546.00814988924,277.29821411576296,0.9957275369944444,340
15000,14.999999999997126,-207198.5511196265,3593.1079726349562,-203605.44314699154,288.38908619975047,0.9948531875375191,340
16000,15.999999999996572,-207197.21468435164,3608.044307908509,-203589.17037644313,289.58790240942704,1.004502418242563,340
17000,16.999999999997794,-207071.27950605896,3459.8265218152665,-203611.4529842437,277.69168548092927,1.0267324314810775,340
18000,17.999999999999016,-206947.15848612247,3514.5619326331653,-203432.5965534893,282.0848446146822,1.0126228862315079,340
19000,19.000000000000238,-206939.80489744918,3568.3174498248845,-203371.4874476243,286.3993557841716,1.0029248986703228,340
20000,20.00000000000146,-206728.975209578,3474.4127447353676,-203254.56246484263,278.8624010650616,0.9834260949926726,338
21000,21.000000000002682,-206824.34349327025,3704.3367046290077,-203120.00678864124,297.31649740565365,0.9772595723163453,338
22000,22.000000000003904,-206749.71915871813,3692.1552036153153,-203057.5639551028,296.338788978121,0.9716884065626772,338
23000,23.000000000005127,-206716.5339128491,3606.411050703726,-203110.12286214536,289.4568143496182,0.9890876910980281,338
24000,24.00000000000635,-206710.324723067,3524.909288946539,-203185.41543412046,282.9153414031238,0.9916870840955673,338
25000,25.00000000000757,-206704.3052083932,3429.4106624025153,-203274.89454599068,275.25045577983826,0.9896499913618517,338
26000,26.000000000008793,-206807.38873560814,3587.5752952434123,-203219.81344036473,287.94502390344957,0.994734692453418,338
27000,27.000000000010015,-206820.01393042735,3665.639014545828,-203154.37491588152,294.2105535915174,0.9923237442694998,338
28000,28.000000000011237,-206751.35676516488,3594.4979192672763,-203156.8588458976,288.5006457304448,1.0006066347782738,338
29000,29.00000000001246,-206688.80596426802,3627.028841999825,-203061.7771222682,291.1116340869106,0.9943430969255534,338
30000,30.00000000001368,-206542.79713393055,3548.01641811803,-202994.78071581252,284.76995972164286,0.9944743541311755,337
31000,31.000000000014904,-206776.77003049705,3685.1377558591776,-203091.63227463787,295.7755564336887,0.9921397445887461,337
32000,32.00000000001612,-206582.87168018235,3541.6220633536577,-203041.2496168287,284.25673770288404,1.015684867314598,337
33000,33.00000000001379,-206692.8849503493,3706.6964035229757,-202986.18854682634,297.50589093708123,0.9871155961043662,337
34000,34.00000000001146,-206684.19541977218,3731.712234455743,-202952.48318531644,299.51370497389064,0.9988480892923689,337
35000,35.00000000000913,-206577.07544548382,3668.5754183386452,-202908.50002714517,294.4462344597166,1.000454369223568,337
36000,36.0000000000068,-206481.3657393627,3690.9384049845394,-202790.42733437815,296.2411266067447,0.9968560891602288,337
37000,37.00000000000447,-206610.08003344774,3804.5757333636284,-202805.5043000841,305.36185594163123,1.0038632266099283,337
38000,38.00000000000214,-206657.39879801933,3714.916524785105,-202942.48227323423,298.1656521458429,1.0024750489057386,337
39000,38.99999999999981,-206582.48496945252,3596.767753683962,-202985.71721576856,288.6828265828539,1.001875890044649,337
40000,39.99999999999748,-206661.70354482072,3694.9579754020087,-202966.7455694187,296.5637443094238,0.998099529620749,337
41000,40.99999999999515,-206509.57377012135,3644.696315197507,-202864.87745492384,292.52965616967083,0.9996674076974784,337
42000,41.999999999992816,-206593.47598890096,3746.8684961292893,-202846.60749277167,300.73017285838705,0.9970239026993034,337
43000,42.999999999990486,-206653.57271984126,3808.2630645022728,-202845.309655339,305.6578075427766,0.9937612590823667,337
44000,43.999999999988155,-206556.00817709486,3684.1264777192846,-202871.88169937558,295.6943894938476,1.0094174236053237,337
45000,44.999999999985825,-206368.10801233255,3602.4126419778913,-202765.69537035466,289.13589512106216,1.0021399219567466,337
46000,45.999999999983494,-206434.2136747388,3726.36665652832,-202707.84701821048,299.0846596055244,1.0164055535829373,337
47000,46.99999999998116,-206424.30997874585,3725.464026341215,-202698.84595240463,299.01221293906787,0.9914022578243598,337
48000,47.99999999997883,-206234.89655679264,3723.2418545703404,-202511.6547022223,298.8338575733894,0.9995642835012926,337
49000,48.9999999999765,-206331.19273901606,3800.5688388887793,-202530.62390012728,305.0402556321217,0.9986453837903495,337
50000,49.99999999997417,-206360.46442335966,3815.188006729819,-202545.27641662984,306.2136154328256,0.9971023220772812,336
51000,50.99999999997184,-206245.22658772144,3686.671865549404,-202558.55472217203,295.89868674178524,0.998695584783435,336
52000,51.99999999996951,-206357.63226936103,3784.923215326853,-202572.70905403417,303.78451071256666,0.9834417381326033,336
53000,52.99999999996718,-206339.32490278588,3732.5088147334754,-202606.8160880524,299.5776398904391,0.9962181401781581,336
54000,53.99999999996485,-206343.16337019455,3823.8859615204856,-202519.27740867407,306.91172839046305,0.9858535682224494,336
55000,54.99999999996252,-206319.8253570432,3721.6180600211956,-202598.20729702202,298.70352900275634,0.9953213985161109,336
56000,55.99999999996019,-206249.81193763006,3691.9863620307297,-202557.82557559933,296.3252374593072,0.9923456158139006,337
57000,56.99999999995786,-206329.9519848717,3704.3793681934476,-202625.57261667826,297.3199216574314,0.9902215821689155,337
58000,57.99999999995553,-206209.0470941989,3608.3513617888093,-202600.6957324101,289.6125470871346,0.9757595713840376,337
59000,58.9999999999532,-206263.84608482014,3679.33596313186,-202584.51012168828,295.3098944731536,0.9952690529170612,337
60000,59.999999999950866,-206418.35439351478,3675.7382800930645,-202742.6161134217,295.02113818419815,0.9989007057155548,336
61000,60.999999999948535,-206426.62262807216,3798.415991843911,-202628.20663622825,304.867464389352,0.9941216930609842,336
62000,61.999999999946205,-206316.40024143382,3632.9347772877663,-202683.46546414605,291.5856547102306,0.9964661532393179,336
63000,62.999999999943874,-206507.1538500828,3781.1167058311403,-202726.03714425166,303.47899364950047,0.9862733395356309,336
64000,63.999999999941544,-206390.24051998538,3620.490458087297,-202769.75006189808,290.58685203857874,0.9850801320427328,336
65000,64.99999999994631,-206364.44551141202,3657.839098383207,-202706.6064130288,293.58451877383186,0.9970388258309488,336
66000,65.99999999995109,-206549.14586245737,3768.500584701076,-202780.6452777563,302.46640185660294,0.9963815615160775,336
67000,66.99999999995586,-206406.53375944676,3573.822707116604,-202832.71105233015,286.84121729563884,0.9848589823457884,336
68000,67.99999999996064,-206652.53887080113,3794.2190151973628,-202858.31985560377,304.53060775461745,0.9912963399804272,336
69000,68.99999999996541,-206547.7278110366,3704.7095371801406,-202843.01827385646,297.34642159372305,0.9895131282763239,336
70000,69.99999999997019,-206505.06547869332,3642.497204001993,-202862.56827469132,292.35315168582116,0.9992053974796455,336
71000,70.99999999997496,-206483.9898691936,3599.2996220476925,-202884.69024714592,288.88603873493935,0.9986503132317581,336
72000,71.99999999997974,-206424.49934456957,3585.9761754721403,-202838.52316909743,287.8166757733423,0.9899291064580242,336
73000,72.99999999998451,-206541.30961947516,3579.519544303883,-202961.79007517127,287.2984553422493,0.9904898006775872,336
74000,73.99999999998929,-206775.1577694301,3780.510098742787,-202994.64767068732,303.4303063110667,0.9999318052688786,336
75000,74.99999999999406,-206445.55023969687,3526.1098499521613,-202919.4403897447,283.0117005145046,0.9878938933567911,336
76000,75.99999999999883,-206559.50984901405,3579.12006937401,-202980.38977964004,287.2663927905912,1.0118644328692248,336
77000,77.00000000000361,-206525.95881455022,3665.9950179303996,-202859.96379661982,294.23912704145056,1.0045399466976037,336
78000,78.00000000000838,-206441.91656837167,3554.9693032647483,-202886.94726510692,285.3280103589143,0.9919521287308949,336
79000,79.00000000001316,-206504.26782793738,3685.6380783384666,-202818.6297495989,295.81571318480957,0.9809291548739532,336
80000,80.00000000001793,-206434.91695947794,3576.7418969664723,-202858.17506251147,287.07551654288073,0.9749057830316452,336
81000,81.00000000002271,-206473.52168048592,3553.052409038646,-202920.46927144728,285.1741570991689,1.010131036402906,336
82000,82.00000000002748,-206637.02215994158,3815.206123733893,-202821.8160362077,306.2150695350372,0.9754288185300425,336
